,hotel,price,score,review_number,predict
117,아라스테이게스트하우스,"₩248,001",5.0,1,0
118,나르샤 리조트,"₩46,000",5.0,1,0
119,호텔캘리포니아,"₩55,000",5.0,1,0
120,해라의 성,"₩49,999",4.0,2,0
121,제주민박 살롱드탱자,"₩60,832",5.0,1,0
122,중문 리조트,"₩31,765",3.5,2,0
123,스프링힐리조트,"₩55,261",4.0,1,0
124,호텔 라벤다 제주,"₩37,775",4.0,1,0
125,노블레스 호텔,"₩49,500",4.0,1,0
126,Sweetmay Seogwipo,"₩34,036",3.5,3,0
127,나디아펜션,"₩32,659",4.0,1,0
128,메이저호텔,"₩60,001",4.0,1,0
129,돔베리조트,"₩40,057",3.5,2,0
130,제니스 홈 게스트하우스,"₩49,999",3.5,4,0
131,블루팜파크,"₩144,445",4.0,1,0
132,한국 콘도 제주,"₩65,399",3.0,17,0
133,호텔DK,"₩45,667",4.0,1,0
134,태흥 리조트,"₩94,118",5.0,1,0
135,이쁜새 이쁘게 노래하고 펜션,"₩49,001",5.0,1,0
136,프레임 펜션,"₩50,001",4.0,2,0
137,휴 리조트,"₩57,500",3.5,3,0
138,게스트하우스풍경,"₩58,824",5.0,1,0
139,레드 스카이,"₩39,441",5.0,1,0
140,외돌개나라,"₩80,000",5.0,1,0
141,뉴아일랜드호텔,"₩42,223",3.0,11,0
142,済州ワンダーリゾート,"₩51,074",3.0,9,0
143,포엠하우스,"₩64,761",5.0,1,0
144,부띠끄스테이스놉,"₩85,168",5.0,1,0
145,오드리인호텔,"₩41,769",5.0,1,0
146,오렌지 호텔,"₩42,223",4.5,2,0
147,돈내코펜션,"₩49,000",5.0,1,0
148,라인 호텔,"₩49,999",5.0,1,0
149,제주리조트,"₩54,832",5.0,2,0
150,알프스호텔,"₩21,038",2.5,5,0
151,파크사이드호텔,"₩36,017",5.0,1,0
152,니하오 게스트하우스,"₩28,551",4.0,3,0
153,호텔 서귀피안,"₩77,626",5.0,2,0
154,호텔 마레,"₩39,999",4.5,2,0
